;date;RM;measurand;based.on;unit;mean.before;mean.after;median.before;median.after;median.after.noPP;sL;sbb;sr;u;u.alternative;t.value;outlier;labs.remaining;property.value;U
43;29.07.2014;MUH;Ta;median;mg/kg;0.01707;0.009275;0.007646;0.005943;0.005943;1.46E-05;0.000111;1.20E-05;0.00242;0.00257;2.31;21.66666667;9;0.005943;0.00594
44;29.07.2014;MUH;Tb;median;mg/kg;0.02117;0.02118;0.0212;0.0212;0.0212;1.26E-06;1.07E-06;2.05E-07;0.00033;0.000337;2.14;21.66666667;15;0.0212;0.000722
45;29.07.2014;MUH;Th;median;mg/kg;0.0208;0.01775;0.01606;0.016;0.016;3.53E-05;7.09E-06;2.09E-06;0.00186;0.00187;2.23;21.66666667;11;0.016;0.00416
46;29.07.2014;MUH;TiO2;median;g/100g;0.03599;0.03436;0.03472;0.0346;0.03452;1.87E-05;1.52E-06;6.11E-07;0.000895;0.000899;2.07;21.66666667;24;0.0346;0.00186
47;29.07.2014;MUH;Tl;median;mg/kg;0.003478;0.003478;0.003436;0.003436;0.003436;2.91E-16;5.23E-08;1.90E-12;9.34E-05;9.34E-05;12.71;21.66666667;2;0.003436;0.00119
48;29.07.2014;MUH;Tm;median;mg/kg;0.01727;0.01701;0.017;0.01698;0.01698;1.55E-06;1.46E-07;5.56E-08;0.000338;0.00034;2.16;21.66666667;14;0.01698;0.000734
49;29.07.2014;MUH;U;median;mg/kg;0.01942;0.01564;0.0153;0.01392;0.01392;1.30E-05;6.03E-07;2.93E-07;0.00105;0.00105;2.2;21.66666667;12;0.01392;0.00232
50;29.07.2014;MUH;V;median;mg/kg;37.55;39.26;40.3;40.99;40.64;20.6;2.02;0.7591;1.06;1.06;2.1;21.66666667;19;40.99;2.24
51;29.07.2014;MUH;Y;median;mg/kg;0.9949;0.9376;0.9694;0.966;0.9438;0.00804;0.00023;0.0001324;0.0219;0.0219;2.12;21.66666667;17;0.966;0.0465
52;29.07.2014;MUH;Yb;median;mg/kg;0.1194;0.1179;0.1175;0.1164;0.1164;2.24E-05;2.03E-05;3.81E-06;0.00128;0.0013;2.11;21.66666667;18;0.1164;0.00275
53;29.07.2014;MUH;Zn;median;mg/kg;44.54;44.54;44.21;44.21;45.67;16.2;0.89;0.4099;0.849;0.851;2.07;21.66666667;23;44.21;1.77
54;29.07.2014;MUH;Zr;median;mg/kg;2.948;0.7731;1.154;0.579;0.579;0.116;0.077;0.01568;0.126;0.128;2.31;21.66666667;9;0.579;0.294
