"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sr" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-24 "OKUM" "Sm" 0.7095 0.7149 0.7105 0.7138 0.7138 "mg/kg" 0.000479 8.68e-05 2.631e-05 0.00533 0.00538 2.11 31 18 "median" 0.7138 0.0113
2014-07-24 "OKUM" "Sn" 0.2476 0.2476 0.258 0.258 0.258 "mg/kg" 0.000262 0.000184 3.687e-05 0.00809 0.0082 2.78 10 5 "median" 0.258 0.0228
2014-07-24 "OKUM" "Sn" 0.2476 0.2476 0.258 0.258 0.258 "mg/kg" 0.000262 0.000184 3.687e-05 0.00809 0.0082 2.78 26 5 "median" 0.258 0.0228
2014-07-24 "OKUM" "Sn" 0.2476 0.2476 0.258 0.258 0.258 "mg/kg" 0.000262 0.000184 3.687e-05 0.00809 0.0082 2.78 31 5 "median" 0.258 0.0228
2014-07-24 "OKUM" "Sr" 16.01 16.11 16.35 16.35 16.46 "mg/kg" 0.485 0.0657 0.02221 0.149 0.15 2.07 10 23 "median" 16.35 0.311
2014-07-24 "OKUM" "Sr" 16.01 16.11 16.35 16.35 16.46 "mg/kg" 0.485 0.0657 0.02221 0.149 0.15 2.07 26 23 "median" 16.35 0.311
2014-07-24 "OKUM" "Sr" 16.01 16.11 16.35 16.35 16.46 "mg/kg" 0.485 0.0657 0.02221 0.149 0.15 2.07 31 23 "median" 16.35 0.311
2014-07-24 "OKUM" "Ta" 0.0286 0.02641 0.02802 0.02761 0.02761 "mg/kg" 3.36e-05 5.56e-06 1.745e-06 0.00172 0.00173 2.2 10 12 "median" 0.02761 0.00382
2014-07-24 "OKUM" "Ta" 0.0286 0.02641 0.02802 0.02761 0.02761 "mg/kg" 3.36e-05 5.56e-06 1.745e-06 0.00172 0.00173 2.2 26 12 "median" 0.02761 0.00382
2014-07-24 "OKUM" "Ta" 0.0286 0.02641 0.02802 0.02761 0.02761 "mg/kg" 3.36e-05 5.56e-06 1.745e-06 0.00172 0.00173 2.2 31 12 "median" 0.02761 0.00382
2014-07-24 "OKUM" "Tb" 0.2253 0.2249 0.2286 0.2286 0.2286 "mg/kg" 0.000119 1.97e-05 6.189e-06 0.00265 0.00267 2.11 10 18 "median" 0.2286 0.00562
2014-07-24 "OKUM" "Tb" 0.2253 0.2249 0.2286 0.2286 0.2286 "mg/kg" 0.000119 1.97e-05 6.189e-06 0.00265 0.00267 2.11 26 18 "median" 0.2286 0.00562
