"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sbb" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-25 "GAS" "K2O" 0.0107 0.008961 0.01 0.009835 0.009835 "g/100g" 1.63e-05 2.29e-06 2.292e-06 0.00115 0.00115 2.16 10 14 "median" 0.009835 0.00249
2014-07-25 "GAS" "K2O" 0.0107 0.008961 0.01 0.009835 0.009835 "g/100g" 1.63e-05 2.29e-06 2.292e-06 0.00115 0.00115 2.16 6 14 "median" 0.009835 0.00249
2014-07-25 "GAS" "K2O" 0.0107 0.008961 0.01 0.009835 0.009835 "g/100g" 1.63e-05 2.29e-06 2.292e-06 0.00115 0.00115 2.16 26 14 "median" 0.009835 0.00249
2014-07-25 "GAS" "K2O" 0.0107 0.008961 0.01 0.009835 0.009835 "g/100g" 1.63e-05 2.29e-06 2.292e-06 0.00115 0.00115 2.16 33 14 "median" 0.009835 0.00249
2014-07-25 "GAS" "K2O" 0.0107 0.008961 0.01 0.009835 0.009835 "g/100g" 1.63e-05 2.29e-06 2.292e-06 0.00115 0.00115 2.16 31 14 "median" 0.009835 0.00249
2014-07-25 "GAS" "K2O" 0.0107 0.008961 0.01 0.009835 0.009835 "g/100g" 1.63e-05 2.29e-06 2.292e-06 0.00115 0.00115 2.16 24 14 "median" 0.009835 0.00249
2014-07-25 "GAS" "P2O5" 0.01568 0.01292 0.01219 0.01074 0.01074 "g/100g" 1.55e-05 2.18e-06 2.182e-06 0.00112 0.00112 2.16 10 14 "median" 0.01074 0.00243
2014-07-25 "GAS" "P2O5" 0.01568 0.01292 0.01219 0.01074 0.01074 "g/100g" 1.55e-05 2.18e-06 2.182e-06 0.00112 0.00112 2.16 6 14 "median" 0.01074 0.00243
2014-07-25 "GAS" "P2O5" 0.01568 0.01292 0.01219 0.01074 0.01074 "g/100g" 1.55e-05 2.18e-06 2.182e-06 0.00112 0.00112 2.16 26 14 "median" 0.01074 0.00243
2014-07-25 "GAS" "P2O5" 0.01568 0.01292 0.01219 0.01074 0.01074 "g/100g" 1.55e-05 2.18e-06 2.182e-06 0.00112 0.00112 2.16 33 14 "median" 0.01074 0.00243
2014-07-25 "GAS" "P2O5" 0.01568 0.01292 0.01219 0.01074 0.01074 "g/100g" 1.55e-05 2.18e-06 2.182e-06 0.00112 0.00112 2.16 31 14 "median" 0.01074 0.00243
2014-07-25 "GAS" "P2O5" 0.01568 0.01292 0.01219 0.01074 0.01074 "g/100g" 1.55e-05 2.18e-06 2.182e-06 0.00112 0.00112 2.16 24 14 "median" 0.01074 0.00243
